gss-code,year,vacancy-dwellings
E07000131,2011,1177
E07000131,2012,1122
E07000131,2013,965
E07000131,2014,995
E07000131,2015,954
E07000132,2011,1368
E07000132,2012,1390
E07000132,2013,1303
E07000132,2014,1213
E07000132,2015,1246
E07000133,2011,580
E07000133,2012,583
E07000133,2013,477
E07000133,2014,446
E07000133,2015,398
E07000134,2011,1289
E07000134,2012,1300
E07000134,2013,1283
E07000134,2014,1196
E07000134,2015,1183
E07000135,2011,666
E07000135,2012,620
E07000135,2013,575
E07000135,2014,555
E07000135,2015,593
E07000136,2011,845
E07000136,2012,783
E07000136,2013,615
E07000136,2014,595
E07000136,2015,514
E07000137,2011,2852
E07000137,2012,2860
E07000137,2013,2462
E07000137,2014,2253
E07000137,2015,2305
E07000138,2011,1501
E07000138,2012,1626
E07000138,2013,1326
E07000138,2014,1484
E07000138,2015,1389
E07000139,2011,1589
E07000139,2012,1458
E07000139,2013,1170
E07000139,2014,1175
E07000139,2015,1277
E07000140,2011,1007
E07000140,2012,1065
E07000140,2013,922
E07000140,2014,866
E07000140,2015,882
E07000141,2011,1937
E07000141,2012,1972
E07000141,2013,1541
E07000141,2014,1528
E07000141,2015,1551
E07000142,2011,1929
E07000142,2012,1851
E07000142,2013,1580
E07000142,2014,1420
E07000142,2015,1289
E07000143,2011,1635
E07000143,2012,1728
E07000143,2013,1515
E07000143,2014,1428
E07000143,2015,1372
E07000144,2011,1186
E07000144,2012,1215
E07000144,2013,1223
E07000144,2014,1091
E07000144,2015,1130
E07000145,2011,1709
E07000145,2012,1656
E07000145,2013,1622
E07000145,2014,1679
E07000145,2015,1708
E07000146,2011,2646
E07000146,2012,2663
E07000146,2013,2372
E07000146,2014,2293
E07000146,2015,2235
E07000147,2011,1962
E07000147,2012,1974
E07000147,2013,1858
E07000147,2014,1765
E07000147,2015,1764
E07000148,2011,1757
E07000148,2012,1691
E07000148,2013,1614
E07000148,2014,1545
E07000148,2015,1453
E07000149,2011,1503
E07000149,2012,1513
E07000149,2013,1409
E07000149,2014,1408
E07000149,2015,1252
E07000150,2011,567
E07000150,2012,529
E07000150,2013,252
E07000150,2014,131
E07000150,2015,116
E07000151,2011,627
E07000151,2012,658
E07000151,2013,574
E07000151,2014,425
E07000151,2015,344
E07000152,2011,1130
E07000152,2012,1016
E07000152,2013,833
E07000152,2014,939
E07000152,2015,950
E07000153,2011,1312
E07000153,2012,1230
E07000153,2013,1041
E07000153,2014,1000
E07000153,2015,965
E07000154,2011,2726
E07000154,2012,2442
E07000154,2013,2069
E07000154,2014,1957
E07000154,2015,1884
E07000155,2011,831
E07000155,2012,752
E07000155,2013,750
E07000155,2014,624
E07000155,2015,482
E07000156,2011,930
E07000156,2012,851
E07000156,2013,714
E07000156,2014,699
E07000156,2015,619
E07000163,2011,944
E07000163,2012,931
E07000163,2013,949
E07000163,2014,940
E07000163,2015,1007
E07000164,2011,1225
E07000164,2012,1222
E07000164,2013,1138
E07000164,2014,1194
E07000164,2015,1226
E07000165,2011,2566
E07000165,2012,2499
E07000165,2013,2312
E07000165,2014,2219
E07000165,2015,2300
E07000166,2011,689
E07000166,2012,866
E07000166,2013,825
E07000166,2014,822
E07000166,2015,855
E07000167,2011,917
E07000167,2012,899
E07000167,2013,844
E07000167,2014,720
E07000167,2015,709
E07000168,2011,2333
E07000168,2012,2259
E07000168,2013,2012
E07000168,2014,2057
E07000168,2015,2241
E07000169,2011,1163
E07000169,2012,1187
E07000169,2013,968
E07000169,2014,1031
E07000169,2015,932
E07000170,2011,1991
E07000170,2012,1903
E07000170,2013,1636
E07000170,2014,1529
E07000170,2015,1591
E07000171,2011,2032
E07000171,2012,1933
E07000171,2013,2465
