gss.code,sex,age,year,popn
E06000005,F,18,2029,608.2004476157
E06000005,F,18,2030,651.3025710205
E06000005,F,18,2031,629.9149603341
E06000005,F,18,2032,548.867042061
E06000005,F,18,2033,573.9833919581
E06000005,F,18,2034,574.7917600204
E06000005,F,18,2035,573.4907668138
E06000005,F,18,2036,573.5703912613
E06000005,F,18,2037,571.7970989665
E06000005,F,19,2011,552
E06000005,F,19,2012,497
E06000005,F,19,2013,489
E06000005,F,19,2014,485
E06000005,F,19,2015,513.9781761834
E06000005,F,19,2016,492.1670371494
E06000005,F,19,2017,513.8415210863
E06000005,F,19,2018,528.294235111
E06000005,F,19,2019,436.0960005559
E06000005,F,19,2020,436.0472246568
E06000005,F,19,2021,385.7140925798
E06000005,F,19,2022,423.3246896786
E06000005,F,19,2023,444.8141530939
E06000005,F,19,2024,433.6770716494
E06000005,F,19,2025,503.7048566667
E06000005,F,19,2026,488.6132702913
E06000005,F,19,2027,543.343884399
E06000005,F,19,2028,489.1045604366
E06000005,F,19,2029,492.0923807587
E06000005,F,19,2030,477.1673370602
E06000005,F,19,2031,520.29321202
E06000005,F,19,2032,498.8369712771
E06000005,F,19,2033,417.8231982362
E06000005,F,19,2034,443.0684725859
E06000005,F,19,2035,443.8366655884
E06000005,F,19,2036,442.5344498877
E06000005,F,19,2037,442.6161466673
E06000005,F,20,2011,580
E06000005,F,20,2012,548
E06000005,F,20,2013,482
E06000005,F,20,2014,478
E06000005,F,20,2015,461
E06000005,F,20,2016,489.9781761834
E06000005,F,20,2017,468.1670371494
E06000005,F,20,2018,489.8415210863
E06000005,F,20,2019,504.294235111
E06000005,F,20,2020,412.0960005559
E06000005,F,20,2021,412.0472246568
E06000005,F,20,2022,361.7140925798
E06000005,F,20,2023,399.3246896786
E06000005,F,20,2024,420.8141530939
E06000005,F,20,2025,409.6770716494
E06000005,F,20,2026,479.7048566667
E06000005,F,20,2027,464.6132702913
E06000005,F,20,2028,519.343884399
E06000005,F,20,2029,465.1045604366
E06000005,F,20,2030,468.0923807587
E06000005,F,20,2031,453.1673370602
E06000005,F,20,2032,496.29321202
E06000005,F,20,2033,474.8369712771
E06000005,F,20,2034,393.8231982362
E06000005,F,20,2035,419.0684725859
E06000005,F,20,2036,419.8366655884
E06000005,F,20,2037,418.5344498877
E06000005,F,21,2011,578
E06000005,F,21,2012,597
E06000005,F,21,2013,579
E06000005,F,21,2014,528
E06000005,F,21,2015,503.8333333333
E06000005,F,21,2016,486.8333333333
E06000005,F,21,2017,515.8115095168
E06000005,F,21,2018,494.0003704827
E06000005,F,21,2019,515.6748544196
E06000005,F,21,2020,530.1275684443
E06000005,F,21,2021,437.9293338893
E06000005,F,21,2022,437.8805579901
E06000005,F,21,2023,387.5474259131
E06000005,F,21,2024,425.1580230119
E06000005,F,21,2025,446.6474864272
E06000005,F,21,2026,435.5104049827
E06000005,F,21,2027,505.53819
E06000005,F,21,2028,490.4466036247
E06000005,F,21,2029,545.1772177323
E06000005,F,21,2030,490.93789377
E06000005,F,21,2031,493.9257140921
E06000005,F,21,2032,479.0006703935
E06000005,F,21,2033,522.1265453534
E06000005,F,21,2034,500.6703046104
E06000005,F,21,2035,419.6565315696
E06000005,F,21,2036,444.9018059192
E06000005,F,21,2037,445.6699989218
E06000005,F,22,2011,607
E06000005,F,22,2012,601
E06000005,F,22,2013,642
E06000005,F,22,2014,627
E06000005,F,22,2015,578.6970519556
E06000005,F,22,2016,554.5473040098
E06000005,F,22,2017,537.5557627657
E06000005,F,22,2018,566.5398904522
E06000005,F,22,2019,544.7185993594
E06000005,F,22,2020,566.4007264806
E06000005,F,22,2021,580.8458460649
E06000005,F,22,2022,488.6425519233
E06000005,F,22,2023,488.6260713987
E06000005,F,22,2024,438.2929450942
E06000005,F,22,2025,475.9211720096
E06000005,F,22,2026,497.3974556606
E06000005,F,22,2027,486.2528518751
E06000005,F,22,2028,556.2845404314
E06000005,F,22,2029,541.1684245679
E06000005,F,22,2030,595.904333287
E06000005,F,22,2031,541.6458373777
E06000005,F,22,2032,544.6526624269
E06000005,F,22,2033,529.7265655497
E06000005,F,22,2034,572.8576685645
E06000005,F,22,2035,551.3863206051
E06000005,F,22,2036,470.3800681765
E06000005,F,22,2037,495.6537159946
E06000005,F,23,2011,686
E06000005,F,23,2012,641
E06000005,F,23,2013,632
E06000005,F,23,2014,671
E06000005,F,23,2015,667.7744537815
E06000005,F,23,2016,619.4725899544
E06000005,F,23,2017,595.3390779292
E06000005,F,23,2018,578.3556487899
E06000005,F,23,2019,607.3454851921
E06000005,F,23,2020,585.5144496165
E06000005,F,23,2021,607.2039149009
E06000005,F,23,2022,621.6417439087
E06000005,F,23,2023,529.4335967153
E06000005,F,23,2024,529.4481105258
E06000005,F,23,2025,479.1149793428
E06000005,F,23,2026,516.7601249577
